32 39 48
32 39 2915
32 39 65
32 39 548
32 39 271
32 39 732
32 39 41
32 39 270
32 39 3623
32 39 1344
32 39 174
32 39 2993
32 39 694
32 39 255
32 39 1678
32 39 2830
32 39 4156
32 39 475
32 39 8978
32 39 740
32 39 4608
32 39 2052
32 39 855
32 39 384
32 39 1308
32 39 237
32 39 10611
32 39 117
32 39 79
32 39 10910
32 39 1578
32 39 227
32 39 2351
32 39 334
32 39 1327
32 39 1619
32 39 163
32 39 225
32 39 2238
32 39 2612
32 39 2881
32 39 389
32 39 1073
32 39 84
32 39 12946
32 39 12981
32 39 12951
32 39 944
32 39 9555
32 39 6354
32 39 589
32 39 4843
32 39 14386
32 39 12925
32 39 9578
32 39 2515
32 39 71
32 39 13008
32 39 12933
32 39 89
32 39 1393
32 39 1062
32 39 1890
32 39 14804
32 39 14098
32 39 3149
32 39 12932
32 39 10978
32 39 76
32 39 286
32 39 2477
32 39 12929
32 39 806
32 39 695
32 39 768
32 39 2135
32 39 205
32 39 13189
32 39 2199
32 39 15832
32 39 1987
32 39 260
32 39 4336
32 39 15618
32 39 16010
32 39 13174
32 39 52
32 39 78
32 48 2915
32 48 65
32 48 152
32 48 1344
32 48 572
32 48 694
32 48 255
32 48 475
32 48 681
32 48 2987
32 48 3965
32 48 855
32 48 237
32 48 10447
32 48 79
32 48 9169
32 48 2351
32 48 334
32 48 1659
32 48 1327
32 48 335
32 48 4720
32 48 2383
32 48 225
32 48 2238
32 48 389
32 48 1073
32 48 2437
32 48 7646
32 48 9304
32 48 1004
32 48 1192
32 48 589
32 48 13335
32 48 14386
32 48 2150
32 48 12925
32 48 2056
32 48 10553
32 48 13008
32 48 89
32 48 1393
32 48 664
32 48 1479
32 48 14098
32 48 2408
32 48 141
32 48 12929
32 48 14933
32 48 768
32 48 13189
32 48 8985
32 48 4336
32 48 15618
32 48 52
32 48 1508
32 48 78
32 65 855
32 65 89
32 548 681
32 271 7646
32 271 932
32 271 3317
32 271 806
32 41 270
32 41 7405
32 41 740
32 41 79
32 41 334
32 41 225
32 41 12951
32 41 932
32 41 286
32 41 9001
32 41 141
32 41 806
32 41 3988
32 41 2539
32 41 15832
32 270 2238
32 270 389
32 572 2351
32 694 1497
32 255 3317
32 255 4344
32 255 1430
32 475 2238
32 8978 16010
32 681 12981
32 1283 3149
32 855 4383
32 237 2881
32 237 286
32 4444 14386
32 117 497
32 79 2238
32 227 1497
32 334 8985
32 225 2238
32 225 14386
32 225 3324
32 3504 16010
32 1018 1497
32 2056 9001
32 89 286
32 14098 16010
32 4512 15618
31 39 48
31 39 334
31 48 334
32 39 48 438
32 39 48 49
32 39 48 89
32 39 48 161
32 39 48 170
32 39 48 270
32 39 48 65
32 39 48 1146
32 39 48 1135
32 39 41 1327
32 39 41 147
32 38 110 286
9 39 379
9 39 704
9 39 10656
39 225 271 2238
2046 10444 10656
237 249 592
32 41 48 225
32 48 270 271
647 769 1034
19 39 48
19 39 4779
39 48 664 12925
39 48 89 13182
39 48 270 271
39 48 16010 16011
39 41 48 225
39 41 48 438
39 41 48 334
39 41 48 79
39 41 48 15832
39 41 48 16217
39 48 907
39 48 499
39 48 341
39 48 389
39 48 1327
39 48 1783
39 48 2723
39 48 334
39 48 438
39 48 2238
39 48 225
39 48 856
39 48 65
39 48 812
39 48 1242
39 48 161
39 48 604
39 48 1344
39 48 3966
39 48 855
39 48 475
39 48 179
39 48 60
39 48 2915
39 48 1714
39 48 592
39 48 89
39 48 2046
39 48 1121
39 48 1135
39 48 310
39 48 255
39 48 1196
39 48 80
39 48 2399
39 48 2351
39 48 2344
39 48 51
39 48 1073
39 48 1814
39 48 78
39 48 4165
39 48 101
39 48 1146
39 48 10605
39 48 1173
39 48 62
39 48 237
39 48 5343
39 48 2958
39 48 49
39 48 694
39 48 147
39 48 3569
39 48 262
39 48 5341
39 48 2639
39 48 432
39 48 79
39 48 4257
39 48 75
39 48 258
39 48 3859
39 48 53
39 48 8730
39 48 12929
39 48 13008
39 48 4055
39 48 1067
39 48 229
39 48 3635
